Departamento,Cabecera,provincia,pais
Bella Vista,Bella Vista,corrientes,argentina
Berón de Astrada,San Antonio de Itatí ,corrientes,argentina
Capital,Corrientes,corrientes,argentina
Concepción,Concepción ,corrientes,argentina
Curuzú Cuatiá,Curuzú Cuatiá,corrientes,argentina
Empedrado,Empedrado,corrientes,argentina
Esquina,Esquina,corrientes,argentina
General Alvear,Alvear,corrientes,argentina
General Paz,Caá Catí ,corrientes,argentina
Goya,Goya,corrientes,argentina
Itatí,Itatí,corrientes,argentina
Ituzaingó,Ituzaingó,corrientes,argentina
Lavalle,Santa Lucía,corrientes,argentina
Mburucuyá,Mburucuyá,corrientes,argentina
Mercedes,Mercedes,corrientes,argentina
Monte Caseros,Monte Caseros,corrientes,argentina
Paso de los Libres,Paso de los Libres,corrientes,argentina
Saladas,Saladas,corrientes,argentina
San Cosme,San Cosme,corrientes,argentina
San Luis del Palmar,San Luis del Palmar,corrientes,argentina
San Martín,La Cruz,corrientes,argentina
San Miguel,San Miguel,corrientes,argentina
San Roque,San Roque,corrientes,argentina
Santo Tomé,Santo Tomé,corrientes,argentina
Sauce,Sauce,corrientes,argentina
